2025-09-07 03:14:26 | INFO     | Flask app created successfully
2025-09-07 03:14:26 | INFO     | Incoming request
2025-09-07 03:14:26 | INFO     | Response status: 200 OK
2025-09-07 03:14:26 | INFO     | Incoming request
2025-09-07 03:14:26 | INFO     | Response status: 404 NOT FOUND
2025-09-07 03:15:48 | INFO     | Incoming request
2025-09-07 03:15:48 | INFO     | Response status: 200 OK
2025-09-07 03:15:48 | INFO     | Incoming request
2025-09-07 03:15:48 | INFO     | Response status: 404 NOT FOUND
2025-09-07 03:16:38 | INFO     | Incoming request
2025-09-07 03:16:38 | INFO     | Glasses home route accessed
2025-09-07 03:16:38 | INFO     | Response status: 200 OK
2025-09-07 03:16:38 | INFO     | Incoming request
2025-09-07 03:16:38 | INFO     | Response status: 404 NOT FOUND
2025-09-07 03:16:38 | INFO     | Incoming request
2025-09-07 03:16:38 | INFO     | Incoming request
2025-09-07 03:16:38 | INFO     | Response status: 304 NOT MODIFIED
2025-09-07 03:16:38 | INFO     | Response status: 304 NOT MODIFIED
2025-09-07 03:16:38 | INFO     | Incoming request
2025-09-07 03:16:38 | INFO     | Response status: 200 OK
2025-09-07 03:16:40 | INFO     | Incoming request
2025-09-07 03:16:40 | INFO     | Memoir mode home sidebar
2025-09-07 03:16:40 | INFO     | Response status: 200 OK
2025-09-07 03:16:40 | INFO     | Incoming request
2025-09-07 03:16:40 | INFO     | Response status: 404 NOT FOUND
2025-09-07 03:16:40 | INFO     | Incoming request
2025-09-07 03:16:40 | INFO     | Response status: 304 NOT MODIFIED
2025-09-07 03:16:40 | INFO     | Incoming request
2025-09-07 03:16:40 | INFO     | Response status: 304 NOT MODIFIED
2025-09-07 03:16:40 | INFO     | Incoming request
2025-09-07 03:16:40 | INFO     | Response status: 304 NOT MODIFIED
2025-09-07 03:16:41 | INFO     | Incoming request
2025-09-07 03:16:41 | INFO     | Response status: 304 NOT MODIFIED
2025-09-07 03:16:41 | INFO     | Incoming request
2025-09-07 03:16:41 | INFO     | Response status: 304 NOT MODIFIED
2025-09-07 03:16:41 | INFO     | Incoming request
2025-09-07 03:16:41 | INFO     | Response status: 304 NOT MODIFIED
2025-09-07 03:16:41 | INFO     | Incoming request
2025-09-07 03:16:41 | INFO     | Response status: 304 NOT MODIFIED
2025-09-07 03:16:41 | INFO     | Incoming request
2025-09-07 03:16:41 | INFO     | Incoming request
2025-09-07 03:16:41 | INFO     | Response status: 304 NOT MODIFIED
2025-09-07 03:16:41 | INFO     | Response status: 304 NOT MODIFIED
2025-09-07 03:16:42 | INFO     | Incoming request
2025-09-07 03:16:42 | INFO     | Response status: 200 OK
2025-09-07 03:16:44 | INFO     | Incoming request
2025-09-07 03:16:44 | INFO     | Incoming request
2025-09-07 03:16:44 | INFO     | Incoming request
2025-09-07 03:16:44 | INFO     | Incoming request
2025-09-07 03:16:44 | INFO     | Response status: 200 OK
2025-09-07 03:16:44 | INFO     | Response status: 200 OK
2025-09-07 03:16:44 | INFO     | Response status: 200 OK
